,0,1,2,3
18,18,-17.418833333333335,0.00998645168764533,"[14, 13, 13, 14, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 5, 14, 14, 14, 14, 14, 14, 14, 14, 14, 1, 15, 3, 14]"
19,19,-17.498733333333334,0.00998645168764533,"[14, 14, 14, 3, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 2, 14, 14, 14, 14, 14, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2]"
20,20,-7.521999999999999,0.00998645168764533,"[2, 3, 3, 14, 2, 2, 11, 11, 11, 3, 8, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 3, 3, 3, 3, 15, 15, 15, 8, 8, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 5, 15, 5, 5, 5]"
21,21,-9.307666666666666,0.00998645168764533,"[2, 3, 3, 11, 11, 3, 15, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 15, 2, 15, 8, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 11, 8, 5, 5, 5, 5, 8]"
22,22,-7.800566666666666,0.00998645168764533,"[2, 2, 11, 11, 15, 11, 15, 8, 5, 15, 8, 5, 2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 8, 11, 8]"
23,23,-10.502166666666668,0.00998645168764533,"[11, 11, 15, 11, 8, 15, 8, 15, 8, 5, 5, 8, 8, 8, 8, 8, 8, 8, 9, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 1, 15]"
24,24,-7.012466666666667,0.00998645168764533,"[11, 11, 15, 11, 8, 15, 8, 15, 8, 5, 5, 12, 12, 12, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 5, 5, 5, 5, 5, 5, 5, 5, 8, 8, 8, 8]"
25,25,-12.093566666666664,0.00998645168764533,"[11, 11, 11, 8, 1, 0, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 13, 11, 0, 3, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 3, 3, 4, 12, 1, 4, 0, 1, 1, 1, 1, 1, 1, 1]"
26,26,-9.689766666666667,0.00998645168764533,"[11, 11, 0, 0, 11, 4, 4, 1, 1, 8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 4, 1, 1, 0, 0, 0, 0]"
27,27,-12.399266666666666,0.00998645168764533,"[4, 8, 0, 1, 4, 1, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 8, 4, 4, 4, 4, 4, 4, 4, 3, 1, 8, 1, 1, 1, 1, 1]"
28,28,-10.791466666666667,0.00998645168764533,"[8, 1, 4, 8, 8, 1, 5, 1, 1, 1, 1, 1, 1, 11, 11, 11, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 8, 11, 11, 11, 11, 10, 3, 11, 11, 11, 11, 11]"
