,0,1,2,3,4
0,0,4.957133333333333,0.995,"[10, 1, 1, 0, 3, 15, 0, 5, 3, 0, 14, 10, 10, 10, 6, 2, 15, 15, 11, 12, 5, 7, 12, 5, 4, 11, 11, 2, 9, 5, 12, 6, 6, 11, 7, 15, 4, 12, 4, 14, 0, 9, 2, 14, 7, 2, 8, 7]","[0.33 0.33 0.33 0.33 0.33 0.33 0.67 1.   1.33 1.33 1.67 1.67 1.67 2.
 2.33 2.33 2.33 2.33 2.33 2.67 3.   3.   3.33 3.33 3.67 3.67 3.67 4.
 4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.
 4.   4.   4.   4.   4.   4.  ]"
1,1,4.753466666666666,0.990025,"[11, 10, 0, 0, 3, 1, 15, 6, 10, 15, 12, 12, 8, 6, 1, 10, 3, 6, 15, 10, 9, 1, 15, 4, 14, 8, 7, 12, 7, 14, 3, 5, 6, 3, 0, 5, 7, 8, 8, 14, 1, 4, 9, 12, 9, 4, 11, 13]","[0.33 0.33 0.33 0.33 0.33 0.33 0.67 1.   1.33 1.33 1.67 1.67 1.67 2.
 2.33 2.33 2.33 2.33 2.33 2.67 3.   3.   3.33 3.33 3.67 3.67 3.67 4.
 4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.
 4.   4.   4.   4.   4.   4.  ]"
2,2,5.970333333333335,0.985074875,"[0, 15, 15, 11, 13, 5, 10, 5, 14, 9, 6, 9, 9, 11, 2, 10, 2, 1, 1, 4, 8, 0, 7, 13, 1, 6, 1, 3, 11, 9, 15, 3, 5, 12, 5, 0, 3, 10, 12, 8, 14, 13, 8, 12, 12, 13, 3, 8]","[0.33 0.33 0.33 0.33 0.33 0.33 0.67 1.   1.33 1.33 1.67 1.67 1.67 2.
 2.33 2.33 2.33 2.33 2.33 2.67 3.   3.   3.33 3.33 3.67 3.67 3.67 4.
 4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.
 4.   4.   4.   4.   4.   4.  ]"
3,3,5.447100000000001,0.9801495006250001,"[3, 9, 8, 0, 0, 5, 5, 7, 2, 2, 2, 7, 11, 3, 7, 4, 4, 13, 10, 11, 6, 11, 10, 4, 13, 13, 1, 7, 5, 13, 10, 4, 10, 11, 1, 5, 14, 1, 14, 14, 9, 9, 2, 8, 12, 1, 0, 0]","[0.33 0.33 0.33 0.33 0.33 0.33 0.67 1.   1.33 1.33 1.67 1.67 1.67 2.
 2.33 2.33 2.33 2.33 2.33 2.67 3.   3.   3.33 3.33 3.67 3.67 3.67 4.
 4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.
 4.   4.   4.   4.   4.   4.  ]"
4,4,6.066800000000002,0.9752487531218751,"[2, 10, 0, 11, 15, 5, 6, 11, 15, 2, 1, 7, 7, 15, 3, 10, 15, 11, 1, 9, 14, 8, 10, 13, 8, 13, 2, 5, 7, 8, 0, 14, 1, 14, 3, 11, 3, 13, 0, 13, 5, 8, 4, 4, 14, 0, 6, 4]","[0.33 0.33 0.33 0.33 0.33 0.33 0.67 1.   1.33 1.33 1.67 1.67 1.67 2.
 2.33 2.33 2.33 2.33 2.33 2.67 3.   3.   3.33 3.33 3.67 3.67 3.67 4.
 4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.
 4.   4.   4.   4.   4.   4.  ]"
5,5,6.4220999999999995,0.9703725093562657,"[11, 2, 6, 1, 2, 10, 11, 1, 11, 9, 3, 6, 2, 6, 7, 14, 13, 5, 7, 0, 5, 15, 9, 0, 14, 4, 1, 13, 15, 9, 14, 1, 5, 4, 6, 9, 13, 2, 3, 3, 5, 8, 15, 10, 15, 7, 8, 13]","[0.33 0.33 0.33 0.33 0.33 0.33 0.67 1.   1.33 1.33 1.67 1.67 1.67 2.
 2.33 2.33 2.33 2.33 2.33 2.67 3.   3.   3.33 3.33 3.67 3.67 3.67 4.
 4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.
 4.   4.   4.   4.   4.   4.  ]"
6,6,4.876166666666666,0.9655206468094844,"[14, 14, 5, 9, 2, 14, 5, 5, 1, 3, 6, 6, 3, 8, 8, 8, 14, 11, 10, 4, 13, 6, 3, 7, 6, 8, 2, 7, 3, 7, 13, 10, 10, 11, 12, 1, 1, 15, 2, 11, 1, 12, 9, 11, 2, 15, 12, 13]","[0.33 0.33 0.33 0.33 0.33 0.33 0.67 1.   1.33 1.33 1.67 1.67 1.67 2.
 2.33 2.33 2.33 2.33 2.33 2.67 3.   3.   3.33 3.33 3.67 3.67 3.67 4.
 4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.
 4.   4.   4.   4.   4.   4.  ]"
7,7,3.715366666666665,0.960693043575437,"[7, 13, 8, 5, 2, 5, 3, 10, 8, 8, 5, 8, 12, 12, 10, 10, 7, 13, 11, 10, 1, 0, 12, 13, 13, 0, 5, 4, 6, 14, 12, 0, 0, 7, 3, 2, 9, 1, 14, 4, 15, 9, 11, 15, 6, 15, 4, 9]","[0.33 0.33 0.33 0.33 0.33 0.33 0.67 1.   1.33 1.33 1.67 1.67 1.67 2.
 2.33 2.33 2.33 2.33 2.33 2.67 3.   3.   3.33 3.33 3.67 3.67 3.67 4.
 4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.
 4.   4.   4.   4.   4.   4.  ]"
8,8,5.179,0.9558895783575597,"[8, 5, 13, 4, 1, 6, 6, 13, 14, 15, 1, 15, 13, 3, 4, 4, 3, 4, 0, 11, 6, 5, 0, 14, 3, 13, 11, 11, 3, 8, 7, 15, 10, 12, 6, 7, 5, 8, 1, 11, 7, 14, 7, 15, 12, 12, 10, 9]","[0.33 0.33 0.33 0.33 0.33 0.33 0.67 1.   1.33 1.33 1.67 1.67 1.67 2.
 2.33 2.33 2.33 2.33 2.33 2.67 3.   3.   3.33 3.33 3.67 3.67 3.67 4.
 4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.
 4.   4.   4.   4.   4.   4.  ]"
9,9,5.0995333333333335,0.9511101304657719,"[14, 3, 6, 10, 0, 1, 10, 0, 10, 2, 7, 15, 8, 4, 6, 14, 9, 14, 7, 10, 5, 9, 14, 9, 3, 13, 0, 5, 4, 2, 6, 4, 9, 15, 7, 8, 4, 3, 1, 11, 5, 5, 11, 15, 3, 12, 12, 11]","[0.33 0.33 0.33 0.33 0.33 0.33 0.67 1.   1.33 1.33 1.67 1.67 1.67 2.
 2.33 2.33 2.33 2.33 2.33 2.67 3.   3.   3.33 3.33 3.67 3.67 3.67 4.
 4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.   4.
 4.   4.   4.   4.   4.   4.  ]"
