LR,gamma,batch_size,runtime,cutoffpenaltyscalar,rg_prob,trialv
0.0001,0.9,64,41400,1,0.1,cutoff penalty
0.0001,0.9,64,41400,2,0.1,cutoff penalty
0.0001,0.9,64,41400,4,0.1,cutoff penalty
0.0001,0.9,64,41400,8,0.1,cutoff penalty
0.0001,0.9,64,41400,16,0.1,cutoff penalty
0.0001,0.9,64,41400,32,0.1,cutoff penalty
0.0001,0.9,64,41400,64,0.1,cutoff penalty
0.0001,0.9,64,41400,128,0.1,cutoff penalty
0.0001,0.9,64,41400,256,0.1,cutoff penalty
