x,y,z,policyname,LR,gamma,batch_size,runtime,cutoffpenaltyscalar,rg_prob,turnspc,trialv
15,15,6,MlpPolicy,0.001,1,1,41400,1,1,0.08,gamma1
15,15,6,MlpPolicy,0.001,0.7,1,41400,1,1,0.08,gamma07
15,15,6,MlpPolicy,0.001,0,1,41400,1,1,0.08,gamma0
